符合條件商品
資料日期：2023年  8月  9日
策略,	基金財務輸出CSV
序號,	代碼,	商品,	成交,	漲幅%,	總量,	CLOSE,	C_MA20,	VOL,	VOL_MA10,	ROE4,	毛利率,	營益率,	利息倍數,	股本,	市值
執行時間：2023-08-09 19:11 符合檔數(1770)
162	,1614.TW,三洋電,38.8,-0.77,19,38.8,38.42,19,97,8,20.8,7.7,208,27,104
163	,1615.TW,大山,39.8,-1.12,164,39.8,39.19,164,664.4,15.1,15.8,11.4,75,15,59
164	,1616.TW,億泰,10.9,6.86,2902,10.9,10.46,2902,2485.5,4.1,10.4,5.6,2,19,21
165	,1617.TW,榮星,16.35,-1.8,116,16.35,16.52,116,334.2,4.9,9.6,0.6,6,16,26
166	,1618.TW,合機,27,-1.46,2425,27,27.26,2425,9376.5,4.9,14,11,191,19,52
167	,1626.TW,艾美特-KY,18.3,-0.54,35,18.3,18.39,35,154.6,-3.9,17.5,-0.9,19,15,27
168	,1701.TW,中化,24.4,0,952,24.4,24.32,952,720.7,5.3,37.9,3.2,15,30,73
169	,1702.TW,南僑,48.1,-0.82,319,48.1,48.29,319,693.3,5.4,25.3,4.1,6,29,141
170	,1707.TW,葡萄王,176,-1.4,141,176,173.72,141,498.3,14.5,80.2,21.5,1137,15,240
171	,1708.TW,東鹼,33.7,-1.17,846,33.7,34.84,846,1434.6,-5.9,7.5,-3,15,25,84
172	,1709.TW,和益,25.1,-0.59,660,25.1,25.07,660,792.4,4.1,12.4,5.3,41,48,120
173	,1710.TW,東聯,21.95,-1.13,4412,21.95,21.44,4412,5260.9,13.6,2.6,-2.5,-2,89,194
174	,1711.TW,永光,20.15,-1.71,2224,20.15,20.93,2224,2293.1,1.8,20.6,2.8,8,55,110
175	,1712.TW,興農,35.8,-0.28,946,35.8,36.07,946,649.7,14.1,28.3,6.9,34,42,151
176	,1713.TW,國化,33.95,0,455,33.95,33.6,455,173.6,14,6.4,-8.6,8371,15,51
177	,1714.TW,和桐,8.52,-0.7,848,8.52,8.54,848,1454.6,5,9.5,4,11,102,87
178	,1717.TW,長興,30.15,-0.5,1230,30.15,31.14,1230,1428.9,2.2,17.9,2.5,11,118,355
179	,1718.TW,中纖,8.18,-0.61,1329,8.18,8.06,1329,2373.8,3.5,35.5,10.6,11,169,138
180	,1720.TW,生達,62,1.31,614,62,62.63,614,803.3,16.3,45.6,22.5,76,18,111
181	,1721.TW,三晃,14.15,-1.39,792,14.15,14.53,792,1426.7,-9.3,-0.5,-9.1,5,18,26
182	,1722.TW,台肥,63.4,0.63,2821,63.4,63.71,2821,1700.3,3.8,7.8,-1.4,795,98,621
183	,1723.TW,中碳,110.5,-0.45,164,110.5,109.28,164,337.1,23.9,29.6,23.2,82,24,262
184	,1725.TW,元禎,20.55,-1.67,49,20.55,20.65,49,59.1,1.9,4.8,1.7,15,18,37
185	,1726.TW,永記,76.1,0,14,76.1,75.55,14,35.5,7.9,24.5,10,349,16,123
186	,1727.TW,中華化,30.95,-0.48,1449,30.95,33.05,1449,3769.1,0.1,9.9,-0.2,9,12,34
187	,1730.TW,花仙子,59,0.85,16,59,57.33,16,59.2,12.5,47.9,11.1,167,6,37
